"person_id","obs_id","sex","site","age_estimated","height_cm","weight_kg"
5320,"ki6lp","m","Moseten",58.5,170.2,65.8
32264,"7fbsj","m","Moseten",53.1,152.6,56.6
11783,"m63k9","m","Moseten",52.4,160.8,75.8
21064,"lcgjd","m","Moseten",46.1,166,67.2
23560,"p8wb6","f","Moseten",48.9,154.7,70.9
24613,"wcx3x","f","Moseten",56.1,160.4,54
21744,"twmww","f","Moseten",40,NA,75
30083,"re71u","f","Moseten",21.5,153.3,54
10724,"rt3ir","f","Moseten",10.8,130.1,30.8
6906,"4ozgb","f","Moseten",26.8,149.9,64.8
22489,"290s1","m","Moseten",63.6,166.1,98.1
2408,"qgw03","f","Moseten",59.6,153.5,48.4
25149,"ssqyy","m","Moseten",49,167,90
27764,"3x4ny","m","Moseten",70.5,151.5,54.7
30153,"gxqp7","f","Moseten",67,143.5,62.1
31479,"x54or","f","Moseten",48.5,145,46.7
29011,"hp0ew","f","Moseten",28.2,160,68
19840,"t4xlz","f","Moseten",59.5,138.2,59.5
8820,"190fe","m","Moseten",68.3,160.7,65.8
1123,"uitic","m","Moseten",61.5,155.7,56.7
4244,"o2a5x","f","Moseten",69.2,146,37.2
20364,"wgleu","f","Moseten",85.1,144.4,54.6
18896,"v4lbo","f","Moseten",49.3,154.2,57.2
2614,"sn6a7","f","Moseten",39.9,150.2,57.1
2314,"bqx6j","f","Moseten",69.9,149.2,43.1
12813,"4zj3e","m","Moseten",66.8,166.2,72
18667,"h5e7q","f","Moseten",71,144.6,60.5
22661,"zvzzu","f","Moseten",45.3,149,59
15294,"bpvwj","m","Moseten",60.6,163.2,85.6
7396,"wszhz","f","Moseten",56.8,142.2,62.5
21236,"hcqtv","m","Moseten",72.2,161.2,88.2
30197,"t4geh","m","Moseten",54.1,164.6,58.2
10789,"f3kio","f","Moseten",50.5,146.2,46.6
15386,"tc5zw","f","Moseten",41.7,151.5,68.2
31371,"nc9nh","f","Moseten",32.7,144.6,56.5
32251,"5zcl4","f","Moseten",64.3,146,46
25800,"j9ixf","f","Moseten",72.4,141,46.9
5416,"4z23j","f","Moseten",67.2,147.4,54.7
13722,"boytf","m","Moseten",47.5,162.3,61.7
1311,"s88u6","m","Moseten",69.7,151.9,57.5
18370,"99xpz","m","Moseten",49.9,158.2,60
400,"5mogq","f","Moseten",19,166.6,64.5
15336,"x4d3m","m","Moseten",8.4,117.3,NA
13470,"ceb3a","f","Moseten",5.1,123.7,NA
11422,"grv0i","f","Moseten",49.1,144.2,65.9
1866,"1by8b","f","Moseten",50.5,150.6,55.5
10715,"z8mj8","f","Moseten",55.5,151.1,79.3
17168,"5ldsz","m","Moseten",50.7,160.8,62.8
326,"13hun","f","Moseten",38.2,150.7,49.5
19625,"res4i","f","Moseten",35.4,160.1,77.7
20231,"zl7xj","m","Moseten",31.8,169.1,64.6
15728,"i8g8f","m","Moseten",10,124,NA
15910,"xils0","f","Moseten",7.1,119.2,NA
26302,"d58sp","m","Moseten",28.4,149,46
2850,"9pwhk","m","Moseten",80.7,149.2,61.8
4124,"nc9gv","m","Moseten",60.5,184,86.3
12794,"mjrkn","f","Moseten",35.3,145.1,44.6
31379,"sdtk8","m","Moseten",32.4,168.8,85.2
19664,"vkhtf","m","Moseten",31.8,156,80.8
25044,"is2o1","m","Moseten",10.3,132.7,NA
16177,"dvoc4","m","Moseten",15.5,149.2,49.3
12490,"rva1y","m","Moseten",73,157,51.2
7007,"1axks","f","Moseten",63,149.6,67.3
770,"zo0ch","m","Moseten",68.8,158.5,34.2
4808,"odfki","f","Moseten",81.1,139.3,33.2
16673,"59h2y","f","Moseten",83.6,147.3,84.1
25513,"npva4","f","Moseten",81.9,146.6,62.2
31185,"vceof","m","Moseten",60.9,158.2,64.4
3406,"dwiz4","m","Moseten",82.1,158.5,62.4
29099,"rr2hf","m","Moseten",64,162,74.6
9876,"yrwd9","f","Moseten",55.3,151.1,55.9
11275,"kbp22","m","Moseten",47.4,165.7,57.6
7312,"xgi79","f","Moseten",47.8,148.9,63.1
4755,"c360f","f","Moseten",59.2,151.3,57.7
30990,"iyfwp","f","Moseten",21.3,153.4,62.5
19513,"tbndb","f","Moseten",36.3,149.3,76
24245,"fzrb8","f","Moseten",23.7,152.3,43.2
22406,"bh6m8","f","Moseten",15.9,152.2,55.1
20279,"5pjd3","m","Moseten",24.7,155,58.4
11287,"1bfav","f","Moseten",41.5,154,70.2
20937,"2cr6i","f","Moseten",53.7,152.2,78.9
18942,"buxhg","m","Moseten",58.1,160.5,68.9
14006,"0xgmg","f","Moseten",45,157,71.4
23600,"zhdks","f","Moseten",53.7,151.7,76.5
21916,"s1k23","m","Moseten",48.7,162.6,83.3
25442,"xll11","f","Moseten",45.6,160.4,79.5
31092,"yrihi","m","Moseten",47.7,158,58.9
30898,"wcvjy","m","Moseten",50.9,170.5,54.1
18139,"45n6k","f","Moseten",38.9,149.7,54.8
27752,"wcyjv","m","Moseten",64.3,145.4,48.9
11095,"8vm5w","f","Moseten",52.8,150.4,65.8
16853,"pthrm","f","Moseten",48.6,158,71.3
632,"ro0p3","f","Moseten",73.8,141.7,49.3
23682,"38oic","m","Moseten",65.8,155.3,48.3
16906,"gnbc9","f","Moseten",62.8,145.6,58
17597,"1x863","m","Moseten",46.6,167.5,89.4
4134,"8cry7","f","Moseten",14.4,145.3,51.4
10597,"biv4q","f","Moseten",47.6,150.6,51
20048,"bgxie","m","Moseten",64.3,151.6,35.8
9892,"xn0um","m","Moseten",57.4,169.6,44.3
11626,"m9k72","f","Moseten",61.1,145.2,36
4,"dh6ml","f","Moseten",41.9,145.2,47.3
7169,"xlibt","f","Moseten",8.1,121.6,NA
21882,"hy36m","f","Moseten",27,150,66
19531,"2vt3k","f","Moseten",17.5,158.3,53
15830,"vqwfn","f","Moseten",45.9,149.3,45.3
1308,"g3h54","m","Moseten",46.9,158,48.4
15542,"829f2","f","Moseten",47.9,159.4,60.7
9506,"bjdg4","m","Moseten",71.8,170.9,75.3
3473,"eqkxs","f","Moseten",68.7,150.3,41.4
16019,"q4418","m","Moseten",14.9,169.2,51.2
12579,"8hhc3","f","Moseten",28.5,152.2,79
10262,"cvehz","m","Moseten",11.5,128.8,39.7
27692,"7wkwl","f","Moseten",33.9,143.4,41.2
23360,"c4lrk","f","Moseten",74.6,138.4,45.6
13396,"gh2zs","f","Moseten",61.5,148.6,51.5
23967,"p5vsa","m","Moseten",61.2,157.4,50.5
956,"8lal1","m","Moseten",72.1,158.6,53.9
23162,"9ignu","f","Moseten",40,145.3,70.3
4360,"2ycr3","m","Moseten",21.4,163,61.5
2801,"d4vbw","m","Moseten",71.5,160.1,32.5
6884,"l6cc7","m","Moseten",54.9,148.8,39.8
7902,"uz01q","f","Moseten",58.7,152,41
594,"gu6ga","f","Moseten",63.2,150.5,70.7
27468,"vsr9p","m","Moseten",78.2,157.6,49.2
5155,"6ls8l","f","Moseten",69.3,146,41.4
27956,"mo82y","f","Moseten",27,156,71.8
16185,"6aptm","f","Moseten",71.5,153,58.1
709,"0vx9v","f","Moseten",66.2,154.4,42.9
27794,"n49io","f","Moseten",9.4,124.8,NA
9618,"lf7rr","f","Moseten",25.6,150,55
3116,"1jirv","f","Moseten",58.3,156.8,62.9
26065,"opj4p","m","Moseten",74.3,157.7,57.7
11988,"ro4ua","m","Moseten",64.9,159.6,70.3
8453,"gu8lz","m","Moseten",22.4,166,69.5
1042,"ck3tp","f","Moseten",16.1,149.6,44.3
4024,"y990l","f","Moseten",20,146.4,46
31151,"1y7mr","f","Moseten",26.1,151,65.3
23645,"jz8vl","m","Moseten",65.5,159.2,55.4
8074,"y5j1n","f","Moseten",64,152.8,49.8
18298,"jprtc","m","Moseten",60.5,160.4,47.5
7927,"kinqn","f","Moseten",57.6,148,43
8535,"et8a9","m","Moseten",46.9,156.5,43.8
25778,"ohrmb","f","Moseten",34.5,155,66
26515,"9spn1","m","Moseten",27.2,166.4,72.2
11535,"vqf9u","m","Moseten",58.6,162.8,50.7
25747,"x0i3n","f","Moseten",61.1,153,37.1
1694,"8nvn2","f","Moseten",45,158,45.6
5339,"rse6n","f","Moseten",53.8,147.4,62.9
17574,"mwq2h","m","Moseten",49.2,163,79
7714,"76ezr","m","Moseten",65.7,157.3,44.1
8,"aajba","m","Moseten",48.5,169.4,60
16711,"z7lit","f","Moseten",41.6,149.6,47.2
20171,"jaawu","f","Moseten",10.4,122.2,NA
18604,"8izah","f","Moseten",8.2,110.5,NA
11467,"oxrtv","f","Moseten",18.3,151.8,54.4
3565,"1rl9h","f","Moseten",42.7,162.8,65
21853,"wa7w0","m","Moseten",54.3,158.2,53.3
5550,"y82ll","f","Moseten",50.2,153,55.1
2751,"1mz8g","m","Moseten",56.6,158.3,54.8
16013,"rm2nh","f","Moseten",64.5,144.5,36.6
30714,"8so4k","f","Moseten",62.2,154,74.2
19548,"316gk","f","Moseten",16.5,152.7,51.4
3175,"rmwjf","m","Moseten",23.3,158.6,69.9
4491,"gd7kp","f","Moseten",31,150,50
13453,"dm4rk","f","Moseten",5.1,NA,48
1154,"2j4fz","m","Moseten",53,158.2,54.4
27131,"evcmz","m","Moseten",51.7,155.2,53.1
19569,"zaxuu","m","Moseten",54.7,157.7,62
10212,"2as7y","m","Moseten",67.5,159,46
8050,"dv72k","m","Moseten",46.5,165.9,49.8
28652,"2in6c","f","Moseten",36.9,151.6,96.1
12643,"j7ytf","f","Moseten",24.2,148.4,49.6
16746,"ln8zn","f","Moseten",52.5,150.3,39.3
14682,"8lbo9","m","Moseten",49.2,153.6,42.2
15437,"fptyo","m","Moseten",49.5,156.4,38.1
8192,"wnmww","f","Moseten",51,146,39.5
12449,"9rzfi","m","Moseten",34.3,169,79.9
7726,"npda4","m","Moseten",46.7,165.9,52.3
752,"t13lj","m","Moseten",32.5,157.3,59.2
18880,"3zz2g","m","Moseten",64.5,154,50.1
168,"8t1nb","m","Moseten",63,150.9,49.7
19558,"yc3vf","f","Moseten",17.3,160,55
28382,"pfs50","f","Moseten",38.8,149.4,67.8
12397,"j3fs1","m","Moseten",40.4,163.3,67.9
15474,"bk9gi","m","Moseten",48.7,162.7,59.8
16347,"6dbix","f","Moseten",61.3,146,48.1
16579,"i9e64","m","Moseten",63.2,152.8,57.7
15613,"xh0hx","f","Moseten",66.8,148,51.9
19628,"ig3k6","f","Moseten",46,148.3,58.4
25729,"snc3r","m","Moseten",51,159.6,62.5
16834,"ilr4f","m","Moseten",75.8,160.3,75.3
6739,"zbqsw","m","Moseten",54.1,151.5,56.1
3746,"z6bzq","f","Moseten",48.5,148,47.7
1609,"i8z25","f","Moseten",20,156.5,56.9
20396,"7ann5","m","Moseten",39.9,160.2,74.1
26262,"tu9lj","f","Moseten",27,146.1,46.7
16637,"2t523","m","Moseten",15.3,171.1,52
7301,"w3xpk","m","Moseten",32.1,166,70
16241,"fbozt","f","Moseten",53.9,151.2,50.5
24099,"e8fem","f","Moseten",73.5,147.3,41.5
18859,"di277","m","Moseten",57,158.4,62.3
28617,"5kbfy","m","Moseten",62.7,151.9,43.8
23029,"6x1rq","f","Moseten",61.7,144.9,50.9
1431,"vqzn4","m","Moseten",79.1,146.6,49.4
14225,"3xvhu","m","Moseten",44.4,163.7,63
4211,"v5ze9","f","Moseten",33.1,145.5,58.2
20306,"iiab1","m","Moseten",35.3,175.5,78.5
24570,"nw334","f","Moseten",30,150.2,66.6
7661,"kzp89","f","Moseten",54.5,146.6,68.6
3048,"xj4ns","f","Moseten",89.8,144,39.7
16323,"ks4eb","m","Moseten",62.2,152.2,62.3
3634,"xc5vi","m","Moseten",60.1,160.6,77.4
20776,"rhms8","f","Moseten",44.8,158,NA
31329,"kkhec","m","Moseten",25.3,163.5,50.4
4148,"8pa6g","m","Moseten",30.2,164,65.3
14039,"97qyy","m","Moseten",18,166,60
30586,"2b8dr","m","Moseten",44.6,164.2,66
5616,"j57kq","f","Moseten",67.9,144,47.7
29130,"uld5x","f","Moseten",64.9,146.2,56.1
29965,"y9n74","f","Moseten",47.5,147.7,60.2
4692,"zuk87","f","Moseten",7.3,113.2,NA
5258,"gucl9","f","Moseten",20.5,153.5,79.5
30747,"95g4c","f","Moseten",58.9,146.1,50.7
28262,"wdztz","m","Moseten",63.6,155.1,59.3
21846,"32iot","m","Moseten",62.4,156.8,64.5
31836,"tq61j","m","Moseten",54.5,159.5,74.4
28288,"8x47g","m","Moseten",54.4,158.5,73
17761,"m7ebv","f","Moseten",48.3,152.7,68.1
22190,"4ioq0","m","Moseten",65,163.8,60
1826,"9c6g9","f","Moseten",53.8,155,62.9
17954,"ojhr4","f","Moseten",59.4,139.7,51.6
8465,"40n49","f","Moseten",37.8,153.4,54.9
14492,"zxqr4","f","Moseten",31.4,144.5,57.8
29182,"l629u","f","Moseten",36,146.6,54.9
446,"1cei1","m","Moseten",36.1,160.2,80.1
30367,"k9yy7","m","Moseten",28,152.3,52.2
16955,"rm8f1","f","Moseten",60.8,139.1,37.8
10785,"fzse5","m","Moseten",51,160.5,71.2
21339,"kz48n","f","Moseten",45.3,143,57
6898,"nis29","m","Moseten",56.2,166.7,66.1
18243,"g5d36","f","Moseten",54.5,150.8,58.8
30891,"q4mod","f","Moseten",46.6,155.4,66.5
29206,"8pmd2","m","Moseten",48,158.7,76.7
14005,"tvryc","f","Moseten",48.6,155.4,62.1
14467,"9bbde","m","Moseten",69.5,157.3,59.9
534,"agh5e","f","Moseten",63.8,147.4,41.3
22336,"s6fih","f","Moseten",6.9,110,NA
23269,"n9bz9","m","Moseten",9.5,132.3,NA
689,"oh2zl","f","Moseten",19.3,143.5,50.3
6203,"6fa9e","m","Moseten",25.2,166.1,67.4
29298,"hyx55","f","Moseten",56.9,150.6,61
19905,"yg2i6","f","Moseten",44.2,154,76.6
29308,"0o2c2","f","Moseten",43.3,152,51.2
29960,"1sqmq","m","Moseten",7.6,110.8,NA
30016,"tt0dk","f","Moseten",23.1,149.6,73.7
9415,"tpkxb","m","Moseten",46.2,163.9,75.1
28227,"fy1l6","m","Moseten",46.3,160.3,60.4
8777,"7i6cg","f","Moseten",56.4,149.4,61.3
28961,"ita2b","f","Moseten",46.5,151.6,75.4
32242,"93yku","f","Moseten",56.5,142.8,63.6
16366,"v1h51","f","Moseten",45,146.2,60.9
27845,"a97k4","f","Moseten",12.3,139.3,34.7
25740,"6pn2k","f","Moseten",31.2,153.6,58.8
31339,"opn4t","f","Moseten",32.3,141.7,61.8
16404,"3f6n1","f","Moseten",30.5,146.5,49.5
23329,"yirz4","f","Moseten",8.5,125.7,NA
1016,"5xm98","f","Moseten",65.9,147.9,53.8
29809,"w3bvo","m","Moseten",72.5,161,61.43
1283,"b3rfs","f","Moseten",71.5,142.8,45.9
11124,"47z5m","m","Moseten",66.1,163.2,65.8
12642,"zdgup","m","Moseten",42.4,169.4,72.1
19260,"f1p2w","f","Moseten",45.1,153.2,55.8
9643,"9b03j","m","Moseten",15,147.8,49.8
17380,"c1w3h","m","Moseten",42.4,159.2,67
26818,"odk48","m","Moseten",69.9,162.5,54.5
1338,"on84t","f","Moseten",46,154.5,71.5
18683,"4xmoz","f","Moseten",68.4,145.2,53.6
9465,"9nlqz","m","Moseten",80,155.8,52.9
22164,"bfh9j","f","Moseten",23.4,152,67.3
131,"gkrti","f","Moseten",27.9,151.5,58.6
18691,"u3odq","m","Moseten",41.9,148.6,57.6
10684,"nsrxw","f","Moseten",11.4,146.2,37.2
23723,"xzzic","f","Moseten",26.7,150,50
12388,"g8wx1","f","Moseten",73.2,138.5,41.8
10083,"l3287","f","Moseten",76,151.4,NA
3024,"d3jrw","m","Moseten",67.9,159.6,62.4
11362,"yqhsl","m","Moseten",79.7,151.5,54.2
17951,"5n23e","m","Moseten",57.4,154.1,52
24090,"g7i4r","m","Moseten",20.9,155.9,52.3
20397,"bbpro","m","Moseten",34.4,159.7,60.6
26055,"odatr","m","Moseten",15.9,165.6,64.3
6510,"pxf19","m","Moseten",40.1,161.1,81.9
28028,"ee48i","m","Moseten",49.8,166,63.5
16224,"nfwca","f","Moseten",63.3,138.2,49.6
19957,"wrf9i","f","Moseten",49.6,145.3,53.2
30444,"chvqa","m","Moseten",67.9,157.5,66.7
2342,"xw46a","f","Moseten",12.5,150.4,46.9
30840,"pkm7a","f","Moseten",59.9,156.6,71.9
9402,"ln2yd","f","Moseten",50.1,147.7,69
15616,"hc3an","m","Moseten",53.9,161,61.9
22236,"dik8n","f","Moseten",48.3,151.7,53.5
4271,"p07ex","f","Moseten",28.4,150.5,86.3
8061,"j9uhr","f","Moseten",21.5,155.2,52.7
16218,"2ysy2","m","Moseten",66,158.5,60.7
17088,"byh7x","f","Moseten",63.6,139,41.9
27818,"b2ihk","f","Moseten",61.9,144.3,71.6
5912,"oy2yy","m","Moseten",70,145.3,54.1
12320,"1dv68","f","Moseten",69.6,141.5,60.4
28074,"hcpik","f","Moseten",41.8,153,58.9
17216,"myx3p","m","Moseten",59.7,164,68.4
28218,"xs4jf","m","Moseten",62.5,169.1,NA
31368,"yof6v","m","Moseten",51.9,143.4,37.1
10118,"wehxb","m","Moseten",52.9,163.6,70
24811,"gb8z3","f","Moseten",57,155.6,61
1147,"yq5ni","f","Moseten",48.9,153.5,45.7
19109,"5wps5","m","Moseten",64,163.3,61.9
21684,"ovfid","f","Moseten",33.4,157,77.8
19759,"lx9ge","f","Moseten",68,142.1,38.8
18301,"68xap","f","Moseten",61,141,44
25380,"2m6b1","f","Moseten",67.4,143.9,61.4
10734,"x9ce3","m","Moseten",77,151.6,51.1
18433,"ma6r0","f","Moseten",52.8,153.2,64.2
876,"djmn6","m","Moseten",56,157.8,66.9
30215,"ngrt5","m","Moseten",41.9,164.7,73.7
7845,"igon7","f","Moseten",37.9,155,68
20841,"eid1s","f","Moseten",21.4,154.2,52.2
3350,"le819","f","Moseten",38,151,62.2
3723,"3udks","f","Moseten",35.4,150,67
31444,"t0zvt","f","Moseten",53.8,146.2,61.7
12866,"pur31","f","Moseten",71,144.6,61.1
1649,"jm6fb","f","Moseten",51.2,139.4,65.2
23730,"dkjjv","m","Moseten",65.8,160.6,64.7
7392,"3x87d","f","Moseten",47.9,146,43.2
29788,"13g1f","f","Moseten",14.2,160,NA
32246,"i70tf","f","Moseten",63,146.7,61.9
15443,"i58vy","f","Moseten",55.3,157,74.2
19305,"572o8","m","Moseten",61.8,152.1,56.6
14022,"t3vm5","m","Moseten",49.2,166,95.1
30271,"bncti","m","Moseten",55,160.2,81.4
22325,"u8f2e","m","Moseten",67,170.2,76.1
22620,"8eems","m","Moseten",48,162.3,64.2
25027,"uw4g9","f","Moseten",52.1,151.3,68.1
29352,"3b9wc","m","Moseten",53.4,156,79.7
26596,"x26py","f","Moseten",19.9,149.3,45.2
19186,"3kyfc","m","Moseten",25.9,170,70
11565,"b81cz","f","Moseten",26.5,150,50
30194,"ewr54","f","Moseten",84,146.6,53.3
896,"kc3wj","m","Moseten",66,160,51.7
8827,"5khnv","m","Moseten",85.5,157.4,67
25360,"mwn0e","f","Moseten",60,150.4,68
19588,"g08f5","m","Moseten",51,164.8,70.6
6188,"fcpag","f","Moseten",58,145.3,46.9
19825,"uw87g","m","Moseten",63.9,151.7,79.5
13363,"lojwk","f","Moseten",42,147.1,51
16455,"nbmle","f","Moseten",61,146,56.8
32314,"sc97o","f","Moseten",41,152.2,56.5
26439,"k9avw","f","Moseten",64.7,144.5,54.5
16980,"4j51k","f","Moseten",40,160,88
26933,"jnxmy","m","Moseten",44,150,60.8
1585,"tnwj5","f","Moseten",42.1,148.7,75.5
27058,"hph00","f","Moseten",67.6,145.8,46.7
28583,"1wdck","m","Moseten",52.4,153,48.1
14056,"l7l4h","m","Moseten",52,161.5,71.5
18586,"xp5c6","m","Moseten",66,153.5,72
3396,"dkaw7","f","Moseten",47,150.5,51.9
16782,"29lmb","m","Moseten",8.9,146.6,45.5
4538,"rmb2s","m","Moseten",31.1,166,78
5198,"sdf59","f","Moseten",26.9,153.3,70.2
17791,"92oc6","f","Moseten",83,146.8,58.8
18366,"cwsue","m","Moseten",52.5,150.5,57.4
13955,"e5bb5","m","Moseten",70,161.6,62.9
15143,"vzwfg","f","Moseten",45,151.4,86.6
7019,"eyna4","m","Moseten",24.9,163.3,55.8
27310,"m8ztl","m","Moseten",74,150.6,97
20797,"peqts","m","Moseten",64.9,165,60
9458,"49a9x","f","Moseten",60.5,152,58.2
28665,"ie1gr","f","Moseten",78.8,154.3,53.5
26477,"97bfe","f","Moseten",45.6,NA,46.2
19063,"vqpsw","m","Moseten",67.8,160.2,68.8
4123,"m0ewa","f","Moseten",43.4,149.9,44
27591,"3em0f","f","Moseten",8.2,112.1,NA
10236,"ggtjb","f","Moseten",26.5,154,49.5
5526,"q1yd2","m","Moseten",44.9,163.5,80.3
32229,"apa3k","m","Moseten",46.8,162.2,73.2
7810,"6nnkw","f","Moseten",58.5,146.1,56.6
27716,"vyaqb","m","Moseten",45.9,165.5,68.2
17324,"gco29","m","Moseten",43.5,158.8,61.4
31818,"dzw1v","m","Moseten",25.3,166.2,66.7
6154,"r1nkg","m","Moseten",24.5,172.6,61.9
1277,"oxhox","f","Moseten",18.8,161.3,57
27261,"kk0i0","f","Moseten",21.9,153.5,43.8
31714,"iphuk","f","Moseten",40.9,154.5,62.2
10857,"22yqe","f","Moseten",77.3,142.2,45.2
26659,"ccc3p","m","Moseten",66.1,162.1,61.5
24440,"50jga","m","Moseten",74.4,155.5,55.4
15448,"cw5k6","f","Moseten",40.9,157.6,69.4
14365,"om1ag","m","Moseten",35.5,164.5,NA
24269,"bcyjq","f","Moseten",47.1,149.4,79.9
17973,"qumof","m","Moseten",54.1,159,50.7
97,"bi7kq","m","Moseten",72.1,167.6,97
8447,"zr04y","m","Moseten",54.1,157.7,51.8
28462,"gp29k","f","Moseten",47.5,152.3,77.1
2679,"b4brl","f","Moseten",64.1,144.2,47.6
22117,"z2a7t","m","Moseten",57.7,160.7,64.6
28948,"c5exe","m","Moseten",55.5,156.6,62.4
30680,"dqv2k","m","Moseten",56.2,158.8,66.3
12605,"joniv","f","Moseten",55.2,148.2,75.2
3143,"6k8sf","m","Moseten",8.2,118.4,NA
9225,"yze60","f","Moseten",42.1,152.6,68
10185,"3ebw6","m","Moseten",4.2,113,NA
24965,"tvl1u","f","Moseten",27,150,55
13025,"jw4o2","f","Moseten",41.5,156,59.9
13454,"eyial","m","Moseten",51,169.5,63.5
1586,"xzrv9","f","Moseten",42.4,146.4,67.4
5177,"bknqy","f","Moseten",58.4,150.2,45
27220,"4fr7h","f","Moseten",51.5,150.7,51.5
28980,"h7w4n","f","Moseten",56.8,150.7,56
22064,"3hkjl","m","Moseten",9.5,129.6,NA
331,"pc8tz","f","Moseten",36.1,150.2,55.8
17927,"z5ryt","m","Moseten",5.4,125.2,NA
24098,"np302","f","Moseten",34.1,143.7,60.4
26502,"c1fpd","f","Moseten",25.2,149.5,64
26244,"wxhzv","f","Moseten",38.4,151.1,71.3
31896,"yr34m","f","Moseten",34.4,146.3,59.3
19103,"gdv1q","f","Moseten",23.3,144.7,39.7
2318,"657v7","f","Moseten",41.4,145.8,62.2
26913,"m9zm8","m","Moseten",59.8,158.7,77.8
14917,"k00g5","f","Moseten",56.2,143.7,53.8
23953,"t1o7t","m","Moseten",45.5,160.7,73.7
5469,"e3ln8","f","Moseten",42.4,158.6,80.9
14296,"6jhql","m","Moseten",53.3,158.3,75.3
32144,"wo83o","m","Moseten",37.7,169.9,66.9
17930,"orkvw","f","Moseten",27,171,NA
15893,"2qwmf","m","Moseten",39.6,158,60.8
29844,"htchw","f","Moseten",26.5,154.1,59.3
26170,"ckims","m","Moseten",12.5,138.4,35.7
1575,"vr5eg","f","Moseten",33.4,151,81.4
18792,"9y3hf","f","Moseten",12.2,145,37.1
15702,"bh0ts","f","Moseten",15.3,141.4,31.5
7389,"jz2ft","m","Moseten",64.4,158,47.3
21694,"rvr8l","f","Moseten",58.5,152.5,57
17169,"pjo58","m","Moseten",57.4,166,87.7
26955,"k9gdc","m","Moseten",32.8,164.1,65.5
13484,"09rpe","m","Moseten",11.4,134.6,34.6
26034,"y2jea","f","Moseten",33,149.4,60.9
13127,"tgfni","m","Moseten",23.1,166.3,69.4
20756,"j8xif","m","Moseten",57.6,159.9,56.2
3845,"16eq5","m","Moseten",40.4,158.2,52.4
10689,"r2q5j","m","Moseten",52.6,164.6,60.9
21774,"sz9v8","f","Moseten",48.1,149.5,60.7
29320,"6t2kq","m","Moseten",43,161.7,59.4
12732,"ycgy9","f","Moseten",42.4,151.1,50.6
24347,"6k9f7","m","Moseten",49.8,155.4,72.6
20103,"dvh5w","m","Moseten",19.1,170,65
16762,"fdmwd","m","Moseten",44.8,161.2,39.8
13439,"hfx0x","f","Moseten",39.2,152.9,40.2
29805,"uxhma","m","Moseten",40.9,164.7,46.5
14255,"ljcqv","m","Moseten",65.4,150,32.7
21805,"8rlom","m","Moseten",45,156.8,36
18781,"s780k","m","Moseten",43.4,170.5,44.5
15561,"8aweo","m","Moseten",44.6,149,33
7105,"poqcs","m","Moseten",45.1,160.2,41.6
18488,"br8rp","m","Moseten",64.3,163,45.5
25587,"jzarj","f","Moseten",47.5,158,33.9
20189,"oyqho","f","Moseten",49.4,152.2,NA
20913,"k3uts","f","Moseten",65.9,146,30
31284,"mxpsz","f","Moseten",37.1,150.4,53
4862,"xva14","m","Moseten",18.1,161,54.3
14971,"lif3p","f","Moseten",68.1,139.8,32.4
6816,"4elk6","f","Moseten",41.1,154.2,33.2
23503,"wfg8y","m","Moseten",49.7,166.8,53.9
18048,"4clmy","m","Moseten",38.5,164,63.1
12547,"970e5","f","Moseten",31.1,154.7,78.9
13410,"8xl9r","m","Moseten",35.3,156.7,68.7
5764,"466hx","f","Moseten",32.1,148.4,71.8
11554,"o68xi","f","Moseten",17.3,151.2,62.4
14181,"mun55","m","Moseten",62.1,160.5,72.9
21410,"len3q","f","Moseten",66.6,142.2,NA
16925,"sjipr","f","Moseten",69.7,145.4,61.8
21984,"0qw31","m","Moseten",62,155.9,84.7
19892,"t9zyr","m","Moseten",62.9,157.8,65.4
11504,"j7d70","f","Moseten",53,161.2,70.2
20116,"husgv","f","Moseten",48.6,148.5,52.9
28897,"yqfbz","f","Moseten",56.2,147.3,47.1
27536,"4vp4b","f","Moseten",42.8,154.4,81.4
22435,"g9haf","f","Moseten",48.4,143.2,57.5
29836,"elm1y","f","Moseten",58.8,148.4,64.8
20776,"5zx7e","f","Moseten",45.6,159.5,NA
27048,"gz75g","m","Moseten",59.7,160.7,57.4
31401,"lhhri","f","Moseten",51.1,150.5,53
31195,"sckur","m","Moseten",47,160.3,80.5
30232,"jaboi","m","Moseten",58.9,157.2,57.2
15211,"vyf7b","f","Moseten",48.3,153.2,70.1
5521,"20hin","m","Moseten",42.8,159.6,85.8
24355,"m0fy8","m","Moseten",50.3,161.1,55.9
3483,"6w9fm","m","Moseten",42.4,167.2,62.8
29145,"zlw65","m","Moseten",50.6,155,77.6
3917,"ekwz4","f","Moseten",44.8,150,51
21128,"z5hfb","m","Moseten",51.9,170.5,75.3
31904,"4uos5","m","Moseten",47.1,156.9,68
12871,"2mer2","f","Moseten",40.5,149.5,49.4
24102,"osixm","m","Moseten",47,166.2,69.5
20552,"kfcpe","f","Moseten",39.6,149.2,56.1
13073,"zswh2","m","Moseten",50.6,166.3,92.3
22662,"4y880","m","Moseten",39.4,164.6,78.2
3996,"pu6hj","m","Moseten",46.7,163.6,66.7
1964,"g5zh2","m","Moseten",41.6,167.8,72.7
19069,"mseb0","m","Moseten",40.3,164,77.9
2090,"p1dyo","m","Moseten",62.6,156.3,55.7
8006,"at8yl","m","Moseten",74.6,149.4,53.4
10289,"xp6mh","f","Moseten",40.5,154.8,99.6
